Year,Type,Country,Area,Activity,Injury,Fatal
2018,Boat,Usa,California,Boating,No injury,N
2018,Unprovoked,Usa,Georgia,Wading,Injury,N
2018,No Data,Usa,Hawaii,Surfing,Injury to left lower leg from surfboard skeg,N
2018,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2018,Provoked,Mexico,Colima,Diving,Injury,N
2018,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2018,Unprovoked,Brazil,Pernambuco,Swimming,Fatal,Y
2018,Unprovoked,Usa,Florida,Fishing,Injury,N
2018,Unprovoked,Usa,Florida,Walking,Injury,N
2018,Unprovoked,Usa,Florida,Wading,Injury,N
2018,Provoked,Australia,Queensland,Feeding Sharks,Injury,N
2018,Unprovoked,Usa,South Carolina,Surfing,Injuries to lower right leg and foot,N
2018,Unprovoked,Usa,South Carolina,Swimming,Severe bite to right forearm,N
2018,No Data,England,Cornwall,Fishing,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N
2018,Provoked,Australia,Westerm Australia,Feeding Sharks,Injury,N
2018,Unprovoked,South Africa,Eastern Cape Province,Surfing,Injury,N
2018,No Data,Australia,New South Wales,Surfing,No injury,N
2018,Unprovoked,Thailand,Hua Hin,Swimming,Injury,N
2018,Unprovoked,Costa Rica,Cocos Island,Diving,No injury,N
2018,Unprovoked,Australia,Western Australia,Surfing,No injury,N
2018,No Data,Australia,New South Wales,Surfing,No injury,N
2018,Unprovoked,Australia,Western Australia,Surfing,No injury,N
2018,Unprovoked,Australia,Western Australia,Surfing,No injury,N
2018,Unprovoked,Maldives,Alifu Alifu Atoll,Fishing,5-inch cut to hand,N
2018,Unprovoked,South Africa,Western Cape Province,Boating,No injury,N
2018,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2018,Unprovoked,Thailand,Hua Hin,Swimming,Injury,N
2018,Unprovoked,Brazil,Pernambuco,Swimming,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",No Data
2018,Unprovoked,Australia,Western Australia,Surfing,Injury,N
2018,Unprovoked,Australia,Western Australia,Surfing,Injury,N
2018,Unprovoked,Bahamas,New Providence,Surfing,No injury,N
2018,No Data,Brazil,Alagoas,Fishing,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N
2018,Unprovoked,New Caledonia,No Data,Surfing,No injury,N
2018,Unprovoked,Bahamas,No Data,Swimming,Injury,N
2018,Unprovoked,South Africa,Eastern Cape Province,Surfing,Injury,N
2018,Unprovoked,Usa,Hawaii,Boating,Injuries to right leg & hand,N
2018,Unprovoked,Australia,Western Australia,Wading,Injury,N
2018,Unprovoked,Australia,Victoria,Swimming,No injury,N
2018,Unprovoked,Australia,Victoria,Surfing,Injury,N
2018,Unprovoked,South Africa,Kwazulu-Natal,Diving,Injury,N
2018,Unprovoked,Australia,New South Wales,Swimming,Laceratons to right leg & foot,N
